campaign_id,campaign_name,date,spend,impressions,clicks,ad_sales,units_sold,cpc,roi,acos,daily_spend_ratio,weekly_spend_ratio,tacos,missing_data_flag,notes
CAM_A001,SummerSale,2025-05-01,80.5,15000,520,250.0,15,0.28,2.1,32.2,0.8,0.35,6.5,False,
CAM_A001,SummerSale,2025-05-02,90.0,16500,600,270.0,16,0.3,2.0,33.3,0.9,0.4,7.5,False,
CAM_A001,SummerSale,2025-05-03,,14000,550,260.0,15,0.32,,,,0.45,,True,原始數據缺失，無法計算花費
CAM_A001,SummerSale,2025-05-04,75.5,13000,490,220.0,13,0.27,1.91,34.3,0.75,0.48,8.0,False,
CAM_A001,SummerSale,2025-05-05,105.0,18000,680,310.0,19,0.32,1.95,33.9,1.05,0.53,9.0,False,
CAM_A001,SummerSale,2025-05-06,98.0,15500,610,280.0,17,0.3,1.86,35.0,0.98,0.58,8.2,False,
CAM_A001,SummerSale,2025-05-07,110.0,20000,720,330.0,20,0.31,2.0,33.3,1.1,0.64,9.5,False,
CAM_B002,MegaDeal,2025-05-01,45.0,10000,300,150.0,10,0.15,2.33,30.0,0.45,0.2,5.5,False,
CAM_B002,MegaDeal,2025-05-02,50.0,12000,360,180.0,11,0.14,2.6,27.8,0.5,0.25,5.0,False,
CAM_B002,MegaDeal,2025-05-03,60.0,11000,340,160.0,9,0.18,1.67,37.5,0.6,0.3,6.2,False,
CAM_B002,MegaDeal,2025-05-04,55.0,10500,330,155.0,10,0.17,1.82,35.5,0.55,0.33,5.9,False,
CAM_B002,MegaDeal,2025-05-05,40.0,8500,280,120.0,7,0.14,2.0,33.3,0.4,0.37,4.8,False,
CAM_B002,MegaDeal,2025-05-06,75.0,16000,450,210.0,14,0.17,1.8,35.7,0.75,0.42,6.0,False,
CAM_B002,MegaDeal,2025-05-07,85.0,19000,520,270.0,18,0.16,2.18,31.5,0.85,0.48,7.2,False,
